topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Frühling,0.16024112378940614,0.9337569092625295,0.029306771853367282,0.9880593557368469,581.0
Herbst,0.19166950747306072,1.0833375746859377,0.07057386951124202,1.1012071448634295,697.0
Sommer,-0.047537046459326035,1.0149189843764606,-0.09101210174596641,0.9032650370622295,900.0
Winter,-0.0806436204517257,0.9518892411137543,0.0076196869754338575,0.9876589711646828,2213.0
