0,1,2,3,4,word,summary
593823.6520666962,19.704276482210872,0.0012131279120454984,-0.000199990921491912,-0.001696376739854723,summaryOfAllWords,524566.0957332609
-4.107493898675853,-0.1910686869448266,-0.38731800544849987,-0.6158714710901969,-0.9249623573338482,Schlechtwetter-Sommer,3.429317320596316
-4.080654075676891,-0.2178594955002202,-0.38850506299486504,-0.6242327154314189,-0.9387951576862676,Dehoga,3.465562997957676
-4.483805264934823,0.19044732531292108,-0.36118716102363346,-0.47902309660426096,-0.7004543546121269,schlechtwetter+-+sommer dehoga,2.918391365817116
32.7725542392452,-19.466368510594286,-0.09640709611017112,0.935056187379036,0.0495235907305725,sieht,45.04317918289988
-4.249186311974214,-0.048549369620368266,-0.3798011350976911,-0.5689861705412589,-0.8476394468048939,dehoga seh+t,3.2374642984990585
3.6783513025789407,-4.991611015185427,-1.9593234874239946,0.22406172492613957,0.2335737888479406,Betriebe,12.563921473546431
-4.340435297930414,0.04407115081742585,-0.3736305499535323,-0.5360358162305996,-0.7935487326405696,seh+t betrieb+e,3.113522203895111
-3.9067138781829174,-0.11523830797317114,-0.06822305866969847,-0.5192023319185763,-0.8629687673287327,Bedrängnis,3.570295273228811
-4.459838181891552,0.16593820462211006,-0.36353938551112586,-0.48904965533074557,-0.7167804681513064,betrieb+e bedrängnis,2.9510293323825207
-4.548471235449734,0.2565657666099559,-0.35420344386173075,-0.45086215580027933,-0.6547057973205841,Katastrophaler,2.8303359698352253
-4.548471235449734,0.2565657666099559,-0.35420344386173075,-0.45086215580027933,-0.6547057973205841,bedrängnis katastrophal+er,2.8303359698352253
14.164561744091328,-9.820978793170848,-0.8095372108706176,-0.4439800821327025,-0.5608135519299758,Juli,24.0853893089884
-4.613937084674999,0.32335717139978204,-0.3460640007587545,-0.42055917723363795,-0.6056518484619451,katastrophal+er juli,2.741260660683734
652.4484000023884,-348.2144447127853,-1.7634959116033744,0.5776127390182226,0.12586699722249134,Hier,746.5235080386924
-4.498635502911329,0.20561446746756973,-0.35967016354663806,-0.4727106752656213,-0.6901860304821621,juli hier,2.8981951881508383
608.4599816962046,-324.8797901441315,-1.6029997371729379,0.5812851573027045,0.05644164117474907,finden,696.7287730391822
585.7666448735384,-312.861639646238,-1.483040033461677,0.564235638056438,-0.02911770125978029,hier find+en,671.0491983114598
1414.77490553614,-752.6220673302493,-4.490319267504743,1.293945814147974,1.279499842923565,Sie,1609.4814968335916
567.6709516564482,-303.26415894721424,-1.4018189245411088,0.5653993738853635,-0.047694464424052445,find+en sie,650.5657403465544
