keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Apfel Blüte',1.4054366667218998,0.598191408430214,-0.5002716496826191,0.08503283752546278,2.0
'Apfelernte',0.6873990589616946,1.1319393592398765,0.4664402901595033,1.1813260233070408,21.0
'Aussaat',0.5482348071271591,1.1006215482760107,-0.4457197359349562,0.3199545080460644,7.0
'Blüte',0.08512504037666134,0.9314909260640241,0.40229119149320747,1.2877001090543139,42.0
'Eiche Laub',0.11854304593784956,1.0,2.493044363963102,1.0,1.0
'Eicheln',0.3151310540855171,1.055274898279499,0.3084938493965527,1.0273936612169376,4.0
'Erle',-0.32122086922404325,1.1226980066696797,-0.016368893611319463,1.0477390627944938,41.0
'Ernte',0.32742567060571104,1.104776243314934,0.13437460341908203,1.177563781987253,252.0
'Frühblüher',-0.27941127193139736,0.7570147849937441,0.9821717194987588,0.3746422430968499,4.0
'Frühling',0.14445216345978013,0.8329225210771495,-0.17777667237202902,0.8675782469667433,110.0
'Gewitter',-0.2889032384807143,1.0070455076619398,-0.2222656194666143,0.7587098601543573,249.0
'Glatteis',-0.3580929617091847,1.0443232927378419,-0.08965617128227735,0.7892946731184337,220.0
'Hasel',0.3224670615184686,0.7049138980342183,-0.1289958155705066,0.8868953347804649,17.0
'Herbst',0.08893113983750062,1.0842596831255877,-0.05328152688000033,0.9732702296082627,266.0
'Hochwasser',-0.12734506649298763,0.8740655250578705,0.07144433217716681,1.0529978347431677,283.0
'Laub',0.12478489595124322,0.850774855777937,0.14817983438987797,1.195265394363313,57.0
'Niedrigwasser',-0.004592449453463126,0.9293058591090408,0.21960217532896234,1.0269775033935384,35.0
'Pollen',-0.055850640880841906,0.8387417155527268,0.1288024258484126,1.2864323648238714,20.0
'Schnee',-0.021254098164388762,0.9055706119335409,-0.04603426444004612,0.9132060382835289,535.0
'Schneeglöckchen',0.1202510807514387,0.6633924027686358,0.7376663091230465,1.3373152655448686,3.0
'Sommer',0.20347546276074296,0.9845811770122275,0.0268787842016951,1.0475436209891207,227.0
'Spätfrost',-0.3705964029687919,1.0,0.9160869834919204,1.0,1.0
'Weinlese',0.5928966672035796,1.07535520693871,0.042779008190307825,0.923200344842886,31.0
'Winter',-0.011974338603524252,0.9302947161356178,0.042168736247640864,1.0107229565277889,587.0
