,summary,Sommer,Herbst,Frühling,Winter,word
David,4.499873327477343,0.2280902463758675,-0.7437622458764948,-0.021518684331679375,0.06745919712811396,David
kidnapper+-+chef david,2.5073572109806443,0.5071180729334538,-0.1589422934050195,-0.16520945360098493,-0.361372810354457,kidnapper+-+chef david
Barkay,2.4974116740134966,0.5018266240320071,-0.15496786410072974,-0.16123502429669512,-0.3573983810501673,Barkay
david barkay,2.4974116740134966,0.5018266240320071,-0.15496786410072974,-0.16123502429669512,-0.3573983810501673,david barkay
barkay sag+t,2.486460635661258,0.4959182473046816,-0.1505732667691372,-0.1568404269651026,-0.35300378371857466,barkay sag+t
sag+t frau,2.4719054660086175,0.48792900234632386,-0.1447022959042081,-0.15096945610017343,-0.3471328128536457,sag+t frau
Block,2.4650611533431706,0.48411715356303786,-0.14192961479131402,-0.14819677498727934,-0.3443601317407514,Block
frau block,2.4650611533431706,0.48411715356303786,-0.14192961479131402,-0.14819677498727934,-0.3443601317407514,frau block
block bezahl+te,2.4571946497844452,0.47969159081515494,-0.13873331188849716,-0.14500047208446248,-0.34116382883793467,block bezahl+te
bar,2.4367304024645993,0.46795042636346373,-0.13037014065960903,-0.13663730085557446,-0.33280065760904665,bar
bezahl+te bar,2.4367304024645993,0.46795042636346373,-0.13037014065960903,-0.13663730085557446,-0.33280065760904665,bezahl+te bar
bar entführung,2.423693921186638,0.46029355711379455,-0.12500578904270074,-0.13127294923866614,-0.32743630599213813,bar entführung
entführung kidnapper+-+chef,2.53483541498956,0.5213815566611719,-0.16984170882789926,-0.17610886902386463,-0.37227222577733676,entführung kidnapper+-+chef
Davi…,2.141069585628994,0.25001100762922046,-0.001018509486751747,-0.007285669682717052,-0.20344902643618917,Davi…
kidnapper+-+chef davi…,2.141069585628994,0.25001100762922046,-0.001018509486751747,-0.007285669682717052,-0.20344902643618917,kidnapper+-+chef davi…
davi… +698,2.139021733909219,0.24808776326279133,-6.158977492481276e-05,-0.006328749970890172,-0.2024921067243622,davi… +698
+698 chars,2.1375961221573974,0.24674452919229214,0.0006051108060517581,-0.005662049389913587,-0.2018254061433856,+698 chars
wetter glätte,9.050566554997932,-1.5362767249880407,-0.23643110235244427,-1.4488075176564346,0.6723659143301531,wetter glätte
schnee süden,4.568555005467631,-0.852646330016802,-0.7589099624892306,-0.7651771226851959,0.6179346650955265,schnee süden
süden osten,12.333261169472763,-0.7134976344845401,-1.75201277178107,-0.9941261904121748,0.6857313582552711,süden osten
osten westen,2.4957860741312814,-0.2480531058281053,-0.15431673830053405,-0.16058389849649934,0.24314865333533486,osten westen
westen zieh+t,3.317063512183348,-0.5325292737327242,-0.4387929062051528,-0.44506006640111806,0.464790846264044,westen zieh+t
zieh+t kalt+e,3.24748575464803,-0.5113304494669731,-0.41759408193940184,-0.42386124213536697,0.4517628207142784,zieh+t kalt+e
jahr+es+zeit zurück,3.171454021067909,-0.4876395309252501,-0.3939031633976787,-0.4001703235936439,0.4366618272971797,jahr+es+zeit zurück
zurück süden,3.4774813928502493,-0.5797576605485958,-0.4860212930210244,-0.4922884532169895,0.4922783281894503,zurück süden
osten bleib+t,3.1977459512122786,-0.4958955378336235,-0.4021591703060521,-0.4084263305020175,0.44199102611535285,osten bleib+t
