domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.zeit.de,0.016119343405787998,0.21673293049836848,0.050413787326716086,0.11418750019432602,1516.0
www.stern.de,-0.05513035003217651,0.2525237617920832,0.06793465064869174,0.12755182384586197,876.0
www.faz.net,0.04792595521762188,0.235910688305135,0.048916477041477044,0.10360908378286408,312.0
www.bild.de,0.02840052712627339,0.230808853610468,0.0744961205875385,0.11414410445628462,268.0
www.tagesspiegel.de,0.011214781746031743,0.2010547968830161,0.0733953373015873,0.11640693483402076,240.0
www.n-tv.de,0.017649572649572644,0.25675210584289604,0.05266449599782933,0.09607441836015336,117.0
www.welt.de,0.003534546141688997,0.22937698108187077,0.07287037037037036,0.14616958181640924,105.0
www.diepresse.com,0.07439120697784063,0.21437830269217112,0.06145096652522395,0.11296619042609737,101.0
www.sueddeutsche.de,0.03118433484504913,0.210074115228585,0.06127267573696145,0.0980009356697003,84.0
www.tagesschau.de,-0.019519984700707597,0.24599943031860425,0.08525530694205392,0.1432817211163867,83.0
www.morgenpost.de,0.04473069105691057,0.22086797058328778,0.07614692218350755,0.1345287122144533,82.0
www.focus.de,0.022387909709338277,0.23839068026801677,0.07334570191713048,0.102441332716766,77.0
www.nzz.ch,0.029739170682566908,0.2975419336970607,0.0564240790655885,0.10434703137759545,53.0
www.brigitte.de,0.1261845238095238,0.22198461146068718,0.056591269841269845,0.12243420182758406,40.0
noe.orf.at,0.08655172413793102,0.19353946884009293,0.05886699507389162,0.09472202129558063,29.0
www.golem.de,0.08638392857142856,0.16433494315280844,0.01020408163265306,0.03746646630806872,28.0
orf.at,0.04764880952380952,0.21913093563726407,0.08690476190476192,0.133283720928515,28.0
stadt-bremerhaven.de,0.06847222222222221,0.2306464956554338,0.061342592592592594,0.1248346105710333,24.0
taz.de,-0.0035416666666666626,0.21409265138531255,0.16597222222222222,0.03416214965624678,20.0
www.gamestar.de,0.18229949874686716,0.2101746072677981,0.010776942355889723,0.03388961767415164,19.0
vorarlberg.orf.at,0.04222639933166249,0.18803335947712846,0.1068295739348371,0.166921027606593,19.0
www.telepolis.de,-0.02255291005291006,0.2839620705071337,0.05092592592592592,0.10360688368603431,18.0
steiermark.orf.at,-0.02170083774250442,0.2649423646190284,0.10610670194003527,0.13981663856406568,18.0
ooe.orf.at,0.017352941176470578,0.1759648477354367,0.11337535014005602,0.1424930438314428,17.0
www.ibiza-heute.de,0.13978042328042328,0.3368767522212193,0.04126984126984127,0.10928199668608574,15.0
www.urlaubspiraten.de,0.22254818594104306,0.27121795633869106,0.07976190476190477,0.16847462608268235,14.0
kaernten.orf.at,-0.02333333333333334,0.24409609989286182,0.04880952380952381,0.08535103124625111,14.0
science.orf.at,-0.00702380952380952,0.22927787844304898,0.09702380952380953,0.1476166474459253,14.0
www.spektrum.de,-0.08938644688644687,0.19017613920342652,0.09358974358974358,0.17710878399311922,13.0
tirol.orf.at,0.09862179487179487,0.24964137382866952,0.07467948717948718,0.10522327367050181,13.0
t3n.de,0.020344932844932842,0.14776948316304195,0.14188034188034188,0.16785234393622733,13.0
wien.orf.at,0.2138723544973545,0.21889507273918332,0.05648148148148149,0.074979732889512,12.0
www.autobild.de,0.11882034632034633,0.18617441818576164,0.09134199134199134,0.13847350789663018,11.0
oe3.orf.at,0.15133333333333332,0.3034460515031288,0.05,0.15811388300841897,10.0
www.kino.de,0.45879629629629626,0.4263481703322755,0.025,0.075,9.0
www.transfermarkt.de,0.19425925925925924,0.351076826736834,0.05952380952380952,0.1184508853698357,9.0
salzburg.orf.at,-0.021111111111111122,0.21653200943766057,0.0962962962962963,0.15585289043450598,9.0
burgenland.orf.at,0.11855379188712518,0.20382983451626865,0.11269841269841269,0.13636020060263193,9.0
hallespektrum.de,0.061439393939393946,0.30933582521489494,0.03125,0.08838834764831845,8.0
www.computerbase.de,0.059166666666666666,0.37998746846504844,0.010416666666666666,0.029462782549439476,8.0
www.dw.com,-0.00023809523809523666,0.10827104436375891,0.09999999999999999,0.10584754935143138,7.0
www.freitag.de,0.06916666666666667,0.08546441754710943,0.0,0.0,6.0
www.pcgames.de,0.10433333333333335,0.2780027977477125,0.03333333333333333,0.07453559924999298,5.0
futurezone.at,-0.07883333333333334,0.28400141822807073,0.13333333333333333,0.2981423969999719,5.0
www.fitforfun.de,0.24361904761904762,0.2294429318085787,0.04523809523809523,0.06542205554301944,5.0
www.businessinsider.de,0.12000000000000002,0.2975945227990596,0.06666666666666667,0.14907119849998596,5.0
www.mobiflip.de,0.31166666666666665,0.1910860771717523,0.05,0.1118033988749895,5.0
sport.orf.at,0.13972222222222222,0.22678390894863923,0.0,0.0,5.0
www.kino-zeit.de,0.15902777777777777,0.11077205211994674,0.041666666666666664,0.08333333333333333,4.0
www.china-gadgets.de,0.10416666666666667,0.32670492973187765,0.08333333333333333,0.16666666666666666,4.0
www.iphone-ticker.de,-0.034999999999999996,0.3357082066318903,0.0625,0.125,4.0
www.jungewelt.de,-0.041666666666666664,0.07216878364870323,0.125,0.125,3.0
www.discountfan.de,0.415,0.21017849556983695,0.0,0.0,3.0
www.teltarif.de,0.11666666666666665,0.14571661996262927,0.10000000000000002,0.1,3.0
www.der-postillon.com,0.14444444444444446,0.1004618962223618,0.12037037037037036,0.12525693757841375,3.0
sz-magazin.sueddeutsche.de,0.21375,0.17854446224960324,0.125,0.1767766952966369,2.0
fm4.orf.at,0.09999999999999999,0.1414213562373095,0.0,0.0,2.0
www.macerkopf.de,0.44375,0.5214912511250788,0.0,0.0,2.0
praxistipps.chip.de,0.15416666666666665,0.5008673033404711,0.24166666666666667,0.22391714737574006,2.0
www.appgefahren.de,0.3983333333333333,0.39833682006842175,0.1,0.14142135623730953,2.0
www.horizont.net,-0.16666666666666666,0.23570226039551584,0.0,0.0,2.0
www.gameswelt.de,0.26249999999999996,0.12374368670764578,0.0,0.0,2.0
www.googlewatchblog.de,0.0,0.0,0.25,0.3535533905932738,2.0
